"","x"
"1","21"
"2","04"
"3","38"
"4","06"
"5","75"
"6","30"
"7","72"
"8","38"
"9","41"
"10","25"
"11","11"
"12","40"
"13","59"
"14","15"
"15","12"
"16","08"
"17","49"
"18","03"
"19","55"
"20","90"
"21","25"
"22","66"
"23","20"
"24","81"
"25","39"
"26","54"
"27","00"
"28","66"
"29","66"
"30","79"
"31","25"
"32","67"
"33","25"
"34","27"
"35","75"
"36","80"
"37","15"
"38","67"
"39","39"
"40","51"
"41","49"
"42","24"
"43","29"
"44","79"
"45","01"
"46","92"
"47","21"
"48","52"
"49","83"
"50","83"
"51","55"
"52","83"
"53","00"
"54","86"
"55","26"
"56","38"
"57","96"
"58","38"
"59","70"
"60","72"
"61","68"
"62","48"
"63","82"
"64","07"
"65","73"
"66","35"
"67","09"
"68","51"
"69","32"
"70","01"
"71","73"
"72","49"
"73","67"
"74","63"
"75","38"
"76","28"
"77","12"
"78","11"
"79","43"
"80","42"
"81","12"
"82","50"
"83","33"
"84","41"
"85","09"
"86","39"
"87","08"
"88","20"
"89","52"
"90","35"
"91","07"
"92","34"
"93","12"
"94","20"
"95","65"
"96","80"
"97","60"
"98","92"
"99","12"
"100","96"
"101","12"
"102","07"
"103","22"
"104","23"
"105","24"
"106","56"
"107","33"
"108","78"
"109","22"
"110","31"
"111","56"
"112","42"
"113","55"
"114","82"
"115","09"
"116","12"
"117","00"
"118","67"
"119","62"
"120","72"
"121","72"
"122","78"
"123","43"
"124","09"
"125","00"
"126","58"
"127","01"
"128","20"
"129","15"
"130","36"
"131","70"
"132","41"
"133","04"
"134","32"
"135","67"
"136","28"
"137","50"
"138","67"
"139","47"
"140","27"
"141","48"
"142","56"
"143","22"
"144","08"
"145","52"
"146","38"
"147","80"
"148","15"
"149","83"
"150","20"
"151","26"
"152","85"
"153","47"
"154","96"
"155","91"
"156","68"
"157","80"
"158","13"
"159","92"
"160","31"
"161","51"
"162","73"
"163","29"
"164","59"
"165","79"
"166","36"
"167","67"
"168","08"
"169","01"
"170","61"
"171","29"
"172","71"
"173","59"
"174","27"
"175","82"
"176","53"
"177","96"
"178","02"
"179","43"
"180","17"
"181","69"
"182","68"
"183","34"
"184","15"
"185","90"
"186","25"
"187","45"
"188","21"
"189","68"
"190","04"
"191","59"
"192","44"
"193","45"
"194","20"
"195","18"
"196","19"
"197","55"
"198","67"
"199","89"
"200","28"
"201","66"
"202","65"
"203","41"
"204","58"
"205","09"
"206","30"
"207","09"
"208","32"
"209","11"
"210","64"
"211","27"
"212","36"
"213","61"
"214","38"
"215","46"
"216","43"
"217","36"
"218","07"
"219","89"
"220","55"
"221","01"
"222","60"
"223","35"
"224","47"
"225","70"
"226","35"
"227","43"
"228","53"
"229","22"
"230","34"
"231","90"
"232","02"
"233","51"
"234","46"
"235","76"
"236","66"
"237","52"
"238","26"
"239","18"
"240","92"
"241","12"
"242","23"
"243","00"
"244","38"
"245","44"
"246","41"
"247","87"
"248","94"
"249","60"
"250","59"
"251","42"
"252","65"
"253","01"
"254","37"
"255","67"
"256","21"
"257","72"
"258","48"
"259","74"
"260","58"
"261","80"
"262","74"
"263","74"
"264","11"
"265","60"
"266","21"
"267","45"
"268","83"
"269","68"
"270","13"
"271","15"
"272","49"
"273","41"
"274","71"
"275","19"
"276","18"
"277","51"
"278","73"
"279","63"
"280","49"
"281","06"
"282","47"
"283","25"
"284","44"
"285","98"
"286","42"
"287","06"
"288","41"
