Province,District ,Number ,Percent ,Males ,Females ,Sex ratio,agcho_prov,agcho_dist,agcho_dist_id,iec_id
Badakshan,Arghanj Khwah,14741,1.8,7313,7428,98.5,Badakhshan,Arghanj Khwa,1504,1703
Badakshan,Argo,83999,10.3,43273,40726,106.3,Badakhshan,Argo,1503,1702
Badakshan,Baharak,33012,4,16520,16492,100.2,Badakhshan,Baharak,1512,1706
Badakshan,Darayim,37983,4.6,18952,19031,99.6,Badakhshan,Darayem,1510,1707
Badakshan,Darwazi Balai Nesay,26986,3.3,13422,13564,99,Badakhshan,Darwaz-e-Balla,1515,1727
Badakshan,Darwazi Payin Mamay,22848,2.8,11470,11378,100.8,Badakhshan,Darwaz,1524,1722
Badakshan,Ishkashim,12566,1.5,6365,6201,102.6,Badakhshan,Ishkashem,1523,1723
Badakshan,Jurm,51714,6.3,27949,27501,101.6,Badakhshan,Jorm,1521,1710
Badakshan,Khash,15436,1.9,7836,7600,103.1,Badakhshan,Khash,1511,1705
Badakshan,Khwahan,14235,1.7,7094,7141,99.3,Badakhshan,Khwahan,1517,1720
Badakshan,Kiran Wa Munjan,8084,1,4088,3996,102.3,Badakhshan,Koran wa Monjan,1526,1726
Badakshan,Kishm,71262,8.7,36337,34925,104,Badakhshan,Keshem,1518,1715
Badakshan,Kohistan,15586,1.9,8118,7468,108.7,Badakhshan,Kohistan,1505,1708
Badakshan,Kufab,20835,2.5,10310,10525,98,Badakhshan,Kof Ab,1516,1721
Badakshan,Markazi  Badakhshan―Fayzabad,61057,7.5,48379,48447,99.9,Badakhshan,Faiz Abad,1501,1701
Badakshan,Raghistan,28927,3.5,14834,14093,105.3,Badakhshan,Raghistan,1506,1714
Badakshan,Shahri Buzurg,45419,5.5,22774,22645,100.6,Badakhshan,Shahr-e-Buzorg,1508,1713
Badakshan,Shighnan,22939,2.8,11756,11183,105.1,Badakhshan,Shighnan,1514,1719
Badakshan,Shiki,18105,2.2,9013,9092,99.1,Badakhshan,Shaki,1525,1724
Badakshan,Shuhada,26430,3.2,13509,12921,104.6,Badakhshan,Shuhada,1513,1712
Badakshan,Tagab,24375,3,12376,11999,103.1,Badakhshan,Tagab,1519,1717
Badakshan,Tishkan,26850,3.3,13949,12901,108.1,Badakhshan,Teshkan,1509,1711
Badakshan,Wakhan,11657,1.4,5898,5759,102.4,Badakhshan,Wakhan,1528,1728
Badakshan,Warduj,19609,2.4,9952,9657,103.1,Badakhshan,Warduj,1522,1716
Badakshan,Yaftali Payin,48425,5.9,24118,24307,99.2,Badakhshan,Yaftal-e-Sufla,1502,1704
Badakshan,Yamgan,22533,2.7,11613,10920,106.3,Badakhshan,Yamgan,1520,1718
Badakshan,Yawan,27317,3.3,14058,13259,106,Badakhshan,Yawan,1507,1709
