rural_female,rural_male,rural_total,urban_male,urban_female,urban_total,total_female,total_male,total,dist_name,prov_name,agcho_dist_id,agcho_dist_id_fix
37,39.2,76.2,0,0,0,37,39.2,76.2,Argo,Badakhshan,1503,1503
25.5,25.8,51.3,0,0,0,25.5,25.8,51.3,Yaftal-e-Sufla,Badakhshan,1502,1502
18.2,18.8,37,0,0,0,18.2,18.8,37,Khash,Badakhshan,1511,1511
13.9,14.1,28,0,0,0,13.9,14.1,28,Baharak,Badakhshan,1512,1512
29.5,30.4,59.9,0,0,0,29.5,30.4,59.9,Darayim,Badakhshan,1510,1510
7.8,8.3,16.1,0,0,0,7.8,8.3,16.1,Kohistan,Badakhshan,1505,1505
15.3,16.2,31.5,0,0,0,15.3,16.2,31.5,Yawan,Badakhshan,1507,1507
16.3,16.7,33,1.7,1.8,3.5,18,18.5,36.5,Jurm,Badakhshan,1521,1521
14.1,15,29.1,0,0,0,14.1,15,29.1,Tashkan,Badakhshan,1509,1509
16.3,17.3,33.6,0,0,0,16.3,17.3,33.6,Shuhada,Badakhshan,1513,1513
38.4,40.2,78.6,0,0,0,38.4,40.2,78.6,Kishm,Badakhshan,1518,1518
10.4,10.9,21.3,0,0,0,10.4,10.9,21.3,Wardooj,Badakhshan,1522,1522
13.4,13.9,27.3,0,0,0,13.4,13.9,27.3,Tagab,Badakhshan,1519,1519
13.1,13.9,27,0,0,0,13.1,13.9,27,Shighnan,Badakhshan,1514,1514
8,8.1,16.1,0,0,0,8,8.1,16.1,Khwahan,Badakhshan,1517,1517
10.9,10.9,21.8,0,0,0,10.9,10.9,21.8,Kufab,Badakhshan,1516,1516
6.6,6.9,13.5,0,0,0,6.6,6.9,13.5,Eshkashim,Badakhshan,1523,1523
12.7,12.9,25.6,0,0,0,12.7,12.9,25.6,Shiki,Badakhshan,1525,1525
3.7,4,7.7,0,0,0,3.7,4,7.7,Zebak,Badakhshan,1527,1527
4.6,4.7,9.3,0,0,0,4.6,4.7,9.3,Kiran Wa Menjan,Badakhshan,1526,1526
35,36.6,71.6,0,0,0,35,36.6,71.6,Ab Kamari,Badghis,2903,2903
