unit_type,dist_name,prov_name,dist_id,prov_id,population_2015_adj,population_2015,population_2010_adj,population_2010
District,Qala-e-Kah,Farah,3106,31,42315.6056126617,33658.339246599,36740.0730820298,29363.822481133
District,Pusht Rod,Farah,3105,31,57637.0697335526,45845.214676817,50042.7684345674,39995.7553501399
District,Shib Koh,Farah,3107,31,32751.0894106291,26050.6093292497,28435.7841059789,22726.7732694503
Provincial_Center,Farah,Farah,3101,31,153593.618445402,122170.203720704,131163.695505746,104830.154062619
District,Kang,Nimroz,3402,34,28807.9563509114,22914.1938452628,25012.201435593,19990.537975492
Provincial_Center,Zaranj,Nimroz,3401,34,79682.3999117459,63380.3363673119,69183.3937201838,55293.5447221047
District,Bakwa,Farah,3102,31,49394.1260974296,39288.679266531,42885.9224512391,34275.7789848018
District,Reg,Kandahar,3309,33,12643.5427035801,10056.8250743784,10977.6207049913,8773.6598195611
District,Spin Boldak,Kandahar,3311,33,162000.177566446,128856.881841399,140273.264390234,112110.805992562
District,Panj wayi,Kandahar,3304,33,126607.488232367,100705.113983467,109925.602775915,87856.0031087557
District,Maywand,Kandahar,3308,33,83460.1285791807,66385.1865054108,72463.3674198538,57915.0038912743
Provincial_Center,Kandahar,Kandahar,3301,33,755872.94206544,601230.397169136,632702.84437329,505676.040516961
District,Zheray,Kandahar,3303,33,122626.699534856,97538.7471991032,106469.327625714,85093.6350948438
District,Arghistan,Kandahar,3312,33,49079.8371948078,39038.69017056,42613.0438535437,34057.6864025034
District,Maruf,Kandahar,3316,33,46761.2962456811,37194.4947141279,40599.9954623412,32448.7941430723
District,Ghorak,Kandahar,3315,33,14161.4392131642,11264.1785001177,12295.5194146503,9826.9658498783
District,Khakrez,Kandahar,3307,33,32924.9225699604,26188.8778724372,28586.7131950483,22847.400515601
District,Arghandab,Kandahar,3302,33,80558.2200832665,64076.9731455743,69879.7793961279,55850.1181575991
District,Daman,Kandahar,3305,33,51631.297614947,41068.1512062028,44828.3213923713,35828.2048025783
District,Nesh,Kandahar,3314,33,19990.3941237554,15900.5995107964,17356.4469101653,13871.8186731897
District,Shah Wali Kot,Kandahar,3306,33,63509.269109644,50516.0338131264,55141.2449203804,44070.6169316694
District,Miyanshin,Kandahar,3313,33,21286.4610516652,16931.5057794191,18481.7415093705,14771.1895511523
District,Dehrawud,Uruzgan,2304,23,84059.8023088723,66862.17478095,72984.0304762088,58331.1324580684
District,Shahid-e-Hassas,Uruzgan,2303,23,82453.6639190093,65584.6334561892,71589.5172499605,57216.5953537673
Provincial_Center,Tirin Kot,Uruzgan,2301,23,140452.353213139,111717.485328943,121946.255238086,97463.2859242521
District,Chora,Uruzgan,2302,23,89481.0421165023,71174.2918160036,77690.9616711289,62093.0604548827
District,Khas Uruzgan,Uruzgan,2305,23,78150.1337844543,62161.5536076194,67853.0224664323,54230.2708400404
District,Tarnak Wa Jaldak,Zabul,2404,24,24105.9003569931,19174.1213460155,20929.6905533001,16727.6669411957
District,Mizan,Zabul,2403,24,19260.2845761031,15319.8608765863,16722.5358790979,13365.1768153012
District,Atghar,Zabul,2409,24,12282.7923744507,9769.8802320287,10664.4035468511,8523.3270234
District,Day chopan,Zabul,2408,24,54324.7123663463,43210.5275573768,47166.85260728,37697.2328687282
District,Arghandab,Zabul,2402,24,45288.5100518912,36023.0231989957,39321.2654839382,31426.7930406257
Provincial_Center,Qalat,Zabul,2401,24,48287.1267126352,38408.158542268,41924.7837650478,33507.607072264
District,Mando Zayi,Khost,2605,26,75732.675424397,60238.6748727262,65754.0843169987,52552.7343054265
District,Kakar,Zabul,2407,24,34343.5309268255,27317.2560476642,29818.4043881688,23831.8063919498
District,Shah Joy,Zabul,2406,24,81003.6208475716,64431.2506079972,70330.5257503986,56210.3697512932
District,Shinkay,Zabul,2405,24,33515.5995157817,26658.7096389038,29099.5620135013,23257.2857939266
District,Naw Bahar,Zabul,2411,24,25352.5373899415,20165.7118761986,22012.0706227384,17592.7392496411
District,Ajrestan,Ghazni,1116,11,40365.1391378054,32106.9155525891,35046.6003902387,28010.3465325842
District,Malestan,Ghazni,1117,11,113002.878306818,89883.8411884569,98113.5384717844,78415.4287169836
District,Gelan,Ghazni,1118,11,80113.1108955741,63722.9292359166,69557.3534129448,55592.4253261052
District,Muqur,Ghazni,1114,11,68913.8358762302,54814.890100386,59833.7028631642,47820.9787000753
District,Jaghuri,Ghazni,1113,11,241325.327815633,191953.05864148,209528.145681316,167461.487014435
District,Ab Band,Ghazni,1115,11,38125.929799255,30325.8218815178,33102.4312961735,26456.5053932965
District,Giro,Ghazni,1111,11,52217.2349430434,41534.2137173899,45337.0573689863,36234.802575225
District,Qarabagh,Ghazni,1110,11,203830.431379091,162129.169125475,176973.601561844,141442.868403707
District,Andar,Ghazni,1105,11,171760.138023466,136620.069902785,149128.899064317,119188.507508602
District,Waghaz,Ghazni,1104,11,49113.529075861,39065.4887858629,42642.2981865406,34081.0669751614
District,Wali Muhammad-e- Shahid,Ghazni,1103,11,19408.0018787831,15437.3571850359,16850.7898018509,13467.6816213802
District,Jaghatu,Ghazni,1109,11,75426.2205397002,59994.9187691882,65488.0089545473,52340.0768887363
